Assembly	efaecium.contigs
# contigs (>= 0 bp)	8
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	8
# contigs (>= 10000 bp)	7
# contigs (>= 25000 bp)	5
# contigs (>= 50000 bp)	2
Total length (>= 0 bp)	3142355
Total length (>= 1000 bp)	3142355
Total length (>= 5000 bp)	3142355
Total length (>= 10000 bp)	3132621
Total length (>= 25000 bp)	3103475
Total length (>= 50000 bp)	2992580
# contigs	8
Largest contig	2773588
Total length	3142355
GC (%)	37.78
N50	2773588
N75	2773588
L50	1
L75	1
# N's per 100 kbp	0.00
