All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     pilon  
# misassemblies              31     
    # relocations            31     
    # translocations         0      
    # inversions             0      
# misassembled contigs       2      
Misassembled contigs length  2782003
# local misassemblies        4      
# unaligned mis. contigs     1      
# mismatches                 0      
# indels                     5      
    # indels (<= 5 bp)       5      
    # indels (> 5 bp)        0      
Indels length                5      
