Assembly	pilon
# contigs (>= 0 bp)	8
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	8
# contigs (>= 10000 bp)	7
# contigs (>= 25000 bp)	5
# contigs (>= 50000 bp)	2
Total length (>= 0 bp)	3141050
Total length (>= 1000 bp)	3141050
Total length (>= 5000 bp)	3141050
Total length (>= 10000 bp)	3132750
Total length (>= 25000 bp)	3103593
Total length (>= 50000 bp)	2992680
# contigs	8
Largest contig	2773703
Total length	3141050
Reference length	1753437
GC (%)	37.78
Reference GC (%)	37.94
N50	2773703
NG50	2773703
N75	2773703
NG75	2773703
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	31
# misassembled contigs	2
Misassembled contigs length	2782003
# local misassemblies	4
# unaligned mis. contigs	1
# unaligned contigs	4 + 4 part
Unaligned length	1265371
Genome fraction (%)	100.000
Duplication ratio	1.070
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.29
Largest alignment	1183847
Total aligned length	1875680
NA50	578286
NGA50	1183847
NGA75	578286
LA50	2
LGA50	1
LGA75	2
